Predictor variable,Categorical,Sample average
wc2.1_2.5m_bio_1,false,10.840755410533134
wc2.1_2.5m_bio_10,false,16.427137838686754
wc2.1_2.5m_bio_11,false,5.973744831449999
wc2.1_2.5m_bio_12,false,1782.8306010928961
wc2.1_2.5m_bio_13,false,305.9945355191257
wc2.1_2.5m_bio_14,false,18.136612021857925
wc2.1_2.5m_bio_15,false,72.85818700321386
wc2.1_2.5m_bio_16,false,863.6284153005464
wc2.1_2.5m_bio_17,false,92.26229508196721
wc2.1_2.5m_bio_18,false,102.50819672131148
wc2.1_2.5m_bio_19,false,811.4699453551913
wc2.1_2.5m_bio_2,false,11.093999179986007
wc2.1_2.5m_bio_3,false,49.39657984665834
wc2.1_2.5m_bio_4,false,429.49791213072064
wc2.1_2.5m_bio_5,false,24.343471704285
wc2.1_2.5m_bio_6,false,1.6839231387941076
wc2.1_2.5m_bio_7,false,22.6595486031204
wc2.1_2.5m_bio_8,false,6.3603154531593535
wc2.1_2.5m_bio_9,false,15.97890226958228
